,business_id,city,full_address,latitude,longitude,name,review_count,stars,state,Sunday_Open,Sunday_Close,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Noise Level,Attire,Alcohol,Price_Range,Delivery,Outdoor_Seating,Drive-Thru,Good_for_Groups,Has_TV,Caters,Waiter_Service,Good_for_Kids,Accepts_Credit_Cards,Takes_Reservations,Wi_Fi,Happy_Hour,Good_for_Dancing,Smoking,BYOB,Corkage,Take_Out,Coat_Check,Parking_Street,Parking_Valet,Parking_Lot,Parking_Garage,Parking_Validated,Music_DJ,Music_Karaoke,Music_Video,Music_Live,Music_Jukebox,Music_Background_Music,Is_Restaurants,Sandwiches,Fast Food,Nightlife,Pizza,Bars,Mexican,Food,American (Traditional),Burgers,Chinese,Italian,American (New),Breakfast & Brunch,Thai,Indian,Sushi Bars,Korean,Mediterranean,Japanese,Seafood,Middle Eastern,Pakistani,Barbeque,Vietnamese,Asian Fusion,Diners,Greek,Vegetarian,Number_of_Checkins,Number_of_Tips,Number_of_Tip_Likes
2242,nc3IiY5LNdmEwUZCW84yuA,Phoenix,"455 N 3rd St Phoenix, AZ 85004",33.4521542,-112.0686202,Pizzeria Uno,18,2.5,AZ,,,,,,,,,,,,,,,,casual,full_bar,2.0,0.0,1.0,,1.0,,,1.0,1.0,1.0,0.0,,,,,,,1.0,,0.0,0.0,0.0,1.0,1.0,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2248,P7wKlbSRsoRrfH3DFOY08A,Phoenix,"2508 N Central Ave Phoenix, AZ 85004",33.475583,-112.07411499999999,International House of Pancakes,57,3.0,AZ,,,,,,,,,,,,,,,average,casual,none,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,no,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,25,0
2249,BESmH-lmMm34_EefL8X9fQ,Phoenix,"1830 S Central Ave Phoenix, AZ 85004",33.429424,-112.073929,Comedor Guadalajara,265,4.0,AZ,08:00,20:00,,,08:00,15:00,08:00,20:00,08:00,20:00,08:00,21:00,08:00,21:00,average,casual,full_bar,2.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,no,,,,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,66,0
2253,D09yG6Z3gcsh24Qn7Y4gYA,Phoenix,"530 E McDowell Rd Ste 103 Phoenix, AZ 85004",33.4657117,-112.06572859999999,Chico's Tacos,89,3.0,AZ,,,06:30,19:00,06:30,20:00,06:30,19:00,06:30,19:00,06:30,19:00,07:00,17:00,average,casual,beer_and_wine,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,free,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,18,0
2254,kaIue7GRCmkPzDeHDBTttQ,Phoenix,"1401 N Central Ave Phoenix, AZ 85004",33.46409829881961,-112.073568999767,Phoenix Blue Fin,172,4.0,AZ,,,10:30,18:30,10:30,18:30,10:30,18:30,10:30,18:30,10:30,18:30,,,average,casual,none,1.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,no,,,,0.0,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,430,32,0
2256,j8nyAaN_w5t6wYv-ni23sg,Phoenix,"412 S 3rd St Phoenix, AZ 85004",33.443909000000005,-112.070122,Coach & Willies,73,3.0,AZ,11:00,20:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,02:00,11:00,02:00,average,casual,full_bar,2.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,free,1.0,0.0,outdoor,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,46,2
2257,5XIvwfbIa-vuFEkkeCQ6kQ,Phoenix,"245 E Jackson St Phoenix, AZ 85004",33.4450359,-112.07062659999998,Jackson's On 3rd,9,2.0,AZ,,,,,,,,,,,,,,,,casual,none,2.0,0.0,1.0,,1.0,,,1.0,0.0,1.0,0.0,,1.0,,outdoor,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0
2259,VsO_rhXi5lgbaGxNwoEZsQ,Phoenix,"905 N 4th St Phoenix, AZ 85004",33.4579128,-112.0686777,Fate 905,90,3.0,AZ,,,,,,,,,,,,,,,,casual,full_bar,2.0,0.0,1.0,,0.0,,,1.0,0.0,1.0,1.0,,,,,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2260,Y293fHh5SZ0_9BZm4M6BCg,Phoenix,"125 E Adams St Phoenix, AZ 85004",33.449309299999996,-112.07193999999998,Matador Restaurant,57,3.0,AZ,07:00,22:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,07:00,22:00,07:00,22:00,average,casual,full_bar,2.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,free,,,,,,1.0,,1.0,0.0,0.0,1.0,1.0,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,11,0
2261,IceZ4BtTz76eppjNWm-c6A,Phoenix,"1030 NW Grand Ave Phoenix, AZ 85007",33.4547647,-112.08651709999998,Paisley Violin,59,3.5,AZ,,,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,00:00,09:00,00:00,average,casual,full_bar,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,free,,,,,,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22,4,0
2262,QsvRjgQacMMFf8dit7qqDw,Phoenix,"823 S Central Ave Phoenix, AZ 85004",33.439268,-112.073481,New Garden Restaurant,18,4.0,AZ,,,,,,,,,,,,,,,quiet,casual,none,2.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,no,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0
2267,LXhL5X3edNRy7epku6UAEw,Phoenix,"3 S 2nd St Ste 205 Phoenix, AZ 85004",33.4470733,-112.07097749999998,Paradise Bakery,7,4.0,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,0
2270,-lOSaCuBRAvX5JBifx-EMw,Phoenix,"455 N 3rd St Phoenix, AZ 85004",33.4521542,-112.0686202,Mi Amigo's Mexican Grill,129,3.0,AZ,11:00,21:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,average,casual,full_bar,2.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,,,,,,1.0,,0.0,0.0,0.0,1.0,0.0,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,25,0
2272,XI-_Y2XRw03mozGx0Z90Gw,Phoenix,"50 N Central Ave Phoenix, AZ 85004",33.4487514,-112.07381470000001,Baja Fresh Mexican Grill,21,3.5,AZ,,,,,,,,,,,,,,,loud,casual,none,1.0,0.0,1.0,,1.0,0.0,,0.0,1.0,1.0,0.0,,,,,,,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,10,0
2273,qsWxbgQwuomXvMseg23DGg,Phoenix,"455 N 3rd 190 Arizona Center Phoenix, AZ 85004",33.4523351,-112.0696144,Hooters,113,2.5,AZ,,,,,,,,,,,,,,,average,casual,full_bar,2.0,0.0,1.0,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,free,1.0,0.0,outdoor,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,42,0
2274,DlCtdbceo4YNSI53cCL2lg,Phoenix,"1418 N Central Ave Phoenix, AZ 85004",33.46425,-112.07415300000001,The Old Spaghetti Factory,275,3.0,AZ,11:30,21:30,11:00,21:30,11:00,21:30,11:00,21:30,11:00,21:30,11:00,22:00,11:30,22:00,average,casual,full_bar,2.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,64,1
2276,kR5i58Pcse1FD9tk-yYLlA,Phoenix,"541 E Van Buren St Phoenix, AZ 85004",33.450875,-112.06633300000001,Crave Sandwich Cafe & Catering,25,3.5,AZ,,,07:00,17:00,07:00,18:00,07:00,17:00,07:00,18:00,07:00,14:00,,,average,casual,none,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,free,,,,,,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0
2277,2I666dqzs1XB6xigIKa9bA,Phoenix,"2 N Central Ave Phoenix, AZ 85004",33.4484248169655,-112.07480205158998,Tom's Tavern & 1929 Grill,78,3.0,AZ,10:00,18:00,10:30,20:00,10:30,20:00,10:30,20:00,10:30,20:00,10:30,21:00,,,average,casual,full_bar,2.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,free,,,,,,1.0,,1.0,0.0,0.0,1.0,0.0,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,19,0
2278,yExYqENb4F6qH6kJxTOaSQ,Phoenix,"333 E Jefferson St Ste 102 Phoenix, AZ 85004",33.4458023,-112.06910690000001,Karim's Cobbler Shop & Deli,19,3.5,AZ,,,,,,,,,,,,,,,,casual,none,1.0,,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,1.0,,0.0,0.0,0.0,1.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,0
2280,9BH18avE46LlHMvJn67MaA,Phoenix,"130 N Central Ave Phoenix, AZ 85004",33.4499524,-112.07405109999999,The Downtown Deli,57,4.0,AZ,,,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,,,average,casual,none,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,free,,,,,,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,10,0
2281,trAvQPp7gps0Btk-2AmLpw,Phoenix,"521 W McDowell Rd Phoenix, AZ 85003",33.465499,-112.081565,Zoes Kitchen,127,3.5,AZ,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,average,casual,none,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,free,,,,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,514,47,1
2283,VCQ3VvnVRhibTT8J61xWkw,Phoenix,"620 E Buckeye Rd Phoenix, AZ 85004",33.4372015,-112.0656044,Jack in the Box,5,2.0,AZ,,,,,,,,,,,,,,,,casual,,,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
2285,s6zzKc7UvwDRxn-BFlhiTg,Phoenix,"455 N 3rd St Phoenix, AZ 85004",33.4521542,-112.0686202,Subway,6,2.5,AZ,,,,,,,,,,,,,,,,casual,,1.0,0.0,1.0,,1.0,0.0,,0.0,1.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0
2286,4WcxnNv_lzCIG2eb8O5Mlg,Phoenix,"1 E Jackson St Phoenix, AZ 85004",33.44455,-112.073577,The Brickhouse,7,3.5,AZ,,,,,,,,,,,,,,,,casual,full_bar,2.0,,,,1.0,,,,0.0,1.0,,,1.0,,outdoor,,,,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2291,If2DUhmWIvlu2JFc_rR-Bw,Phoenix,"2 N Central Ave Phoenix, AZ 85004",33.448491100000005,-112.0744277,Papa Christo's,26,3.5,AZ,,,,,,,,,,,,,,,average,casual,none,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,no,,,,,,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0
2292,xH5axHFadmc7Veutt376TA,Phoenix,"545 E Mcdowell Rd Phoenix, AZ 85004",33.4653345,-112.06559750000001,McDonald's,20,1.5,AZ,,,,,,,,,,,,,,,very_loud,casual,none,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,free,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,6,0
2295,Vvh2Hd4SsZjEEfKLNKAEWw,Phoenix,"2817 N Central Ave Phoenix, AZ 85004",33.479418,-112.0732961,Subway,12,4.0,AZ,,,,,,,,,,,,,,,average,casual,none,,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0
2296,sInUSy63Oh455uWs9p9OqQ,Phoenix,"2600 N Central Ave Phoenix, AZ 85004",33.4771144,-112.07441969999999,Central Cafe,7,4.5,AZ,,,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,,,average,casual,none,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,no,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0
2297,x8WoC_7WHzXNmt6J13Nbvw,Phoenix,"2633 N Central Ave Phoenix, AZ 85004",33.477594,-112.07291399999998,Jordan's Mexican Food,4,2.0,AZ,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,0.0,0.0,0.0,,no,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2300,wki-Qlp3OWgH0XtZ-Jz_WQ,Phoenix,"1 N Central Ave Phoenix, AZ 85004",33.4483756751795,-112.072706876078,Duck & Decanter,50,4.0,AZ,,,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,18:00,,,average,casual,beer_and_wine,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,free,0.0,0.0,,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,18,0
2301,OoHWabV-ym7_HWlHeXTsVA,Phoenix,"2818 N Central Ave Phoenix, AZ 85004",33.479482399999995,-112.0740962,Best of Philly,65,3.5,AZ,,,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,10:30,16:00,average,casual,none,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,no,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,15,0
2306,oSKT5oZX1NWYaHwOWL5lag,Phoenix,"2815 N Central Ave Phoenix, AZ 85004",33.4794762,-112.07368090000001,Ichi Ban Japanese Restaurant & Sushi,51,3.5,AZ,,,17:00,21:00,17:00,21:00,17:00,21:00,17:00,21:00,17:00,21:30,17:00,21:30,average,casual,beer_and_wine,2.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,no,,,,,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,133,13,1
2307,QAe9UHKsxPdXQovBpaznMQ,Phoenix,"2601 N Central Ave Phoenix, AZ 85004",33.476644,-112.0736968,Schlotzskys Deli,13,2.5,AZ,09:00,19:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,08:00,21:00,average,casual,none,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,paid,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0
2309,q1nDSpmV-FdTBNj6UuZvTg,Phoenix,"2824 N Central Ave Phoenix, AZ 85004",33.4796505,-112.0742162,Honey Bear's BBQ,237,3.0,AZ,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,21:00,10:00,21:00,average,casual,beer_and_wine,2.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,no,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,560,44,1
2311,muCl5p-9ut1sY0aKeUeRhw,Phoenix,"1326 N Central Ave Phoenix, AZ 85004",33.46333189999999,-112.0741467,Cheuvront,187,3.5,AZ,16:00,21:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,quiet,casual,full_bar,2.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,no,1.0,0.0,no,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,37,0
2312,oCA2OZcd_Jo_ggVmUx3WVw,Phoenix,"101 E Jackson St Phoenix, AZ 85004",33.444801984944,-112.07211772211001,Alice Cooper'stown,409,3.5,AZ,11:00,18:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,22:00,11:00,22:00,loud,casual,full_bar,2.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,free,1.0,0.0,outdoor,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1321,101,2
